accident_id,timestamp,latitude,longitude,severity,casualties,vehicles_involved,weather_condition,road_condition,light_condition
ACC-000000,2024-05-05T17:01:18.726207,41.79048737692969,-87.6447742270192,5,3,3,Snow,Wet,Daylight
ACC-000001,2023-11-10T23:04:16.726207,41.87793002848952,-87.54716265613133,3,1,3,Clear,Dry,Dark
ACC-000002,2024-08-20T15:35:25.726207,41.878395217988896,-87.70580601802982,4,0,1,Cloudy,Dry,Daylight
ACC-000003,2023-04-23T19:44:49.726207,41.915564704038616,-87.67679668572525,3,1,3,Cloudy,Dry,Dark
ACC-000004,2024-09-07T04:16:56.726207,41.955602142197286,-87.72011559561426,3,2,4,Clear,Dry,Dark
ACC-000005,2024-11-15T13:42:49.726207,41.86801984499147,-87.67057797787331,3,2,2,Clear,Ice,Daylight
ACC-000006,2024-11-30T03:32:53.726207,41.82124815553756,-87.61167515803774,2,1,3,Clear,Dry,Dark
ACC-000007,2025-04-04T21:55:59.726207,41.897440682344616,-87.64616369003139,5,2,4,Clear,Wet,Dark
ACC-000008,2023-06-28T14:54:59.726207,41.91352592789689,-87.66339862141473,4,3,2,Cloudy,Dry,Daylight
ACC-000009,2024-12-08T17:37:54.726207,41.90347445792469,-87.72554970291466,5,2,2,Cloudy,Wet,Daylight
ACC-000010,2024-06-03T21:29:30.726207,41.96111923028274,-87.68774637592777,2,0,4,Clear,Ice,Dark
ACC-000011,2024-07-07T19:38:25.726207,41.940510803909824,-87.60713703079313,4,2,4,Clear,Wet,Dark
ACC-000012,2024-07-30T03:42:56.726207,41.913162561122256,-87.54881417995958,5,0,3,Clear,Dry,Dark
ACC-000013,2024-05-21T05:12:39.726207,41.937076897046275,-87.73228332280375,2,1,4,Clear,Dry,Dark
ACC-000014,2024-06-23T21:15:48.726207,41.81205593070819,-87.63915307003917,5,2,1,Clear,Dry,Dark
ACC-000015,2023-05-24T16:09:46.726207,41.81092062434074,-87.71397574671366,5,1,2,Clear,Dry,Daylight
ACC-000016,2025-02-05T20:25:51.726207,41.85413624585016,-87.68368439044721,3,1,1,Clear,Wet,Dark
